0,0,1
0.8,0,2
1.6,0,3
2.4,0,4
3,0,5
4,0.5,7
4.5,1.5,9
5,2.5,11
6,3,13
7,2.5,15
7.5,1.5,17
7,0.5,19
6,0,21
5,0.5,23
4.5,1.5,25
4,2.5,27
3,3,29
2,2.5,31
1.5,1.5,33
2,0.5,35
3,0,37
